DATE,KCFSI
01/02/2007,-0.745536566
01/03/2007,-0.522818199
01/04/2007,-0.312917391
01/05/2007,-0.594826577
01/06/2007,-0.612522859
01/07/2007,-0.261249778
01/08/2007,0.639826803
01/09/2007,0.266304291
01/10/2007,0.260850208
01/11/2007,0.882711586
01/12/2007,0.931406987
01/01/2008,1.39969126
01/02/2008,1.148916049
01/03/2008,1.766223368
01/04/2008,1.473879378
01/05/2008,0.92031
01/06/2008,1.531923038
01/07/2008,2.301444557
01/08/2008,1.610017855
01/09/2008,2.606158176
01/10/2008,5.416486781
01/11/2008,5.410584884
01/12/2008,5.237227435
01/01/2009,5.410564391
01/02/2009,4.537173073
01/03/2009,4.523833505
01/04/2009,4.368360582
01/05/2009,2.965520928
01/06/2009,1.684463964
01/07/2009,1.658249369
01/08/2009,1.191256791
01/09/2009,0.80520868
01/10/2009,0.758185112
01/11/2009,0.678879679
01/12/2009,0.486581765
01/01/2010,0.470211569
01/02/2010,0.29893236
01/03/2010,-0.056294882
01/04/2010,-0.169945199
01/05/2010,0.501223912
01/06/2010,0.452271747
01/07/2010,0.401704451
01/08/2010,0.166716988
01/09/2010,0.085144141
01/10/2010,0.150388311
01/11/2010,-0.011153652
01/12/2010,-0.134192613
01/01/2011,-0.251585374
01/02/2011,-0.469598159
01/03/2011,-0.313066588
01/04/2011,-0.396130695
01/05/2011,-0.43569443
01/06/2011,-0.21669808
01/07/2011,-0.149962824
01/08/2011,0.666688784
01/09/2011,0.756955205
01/10/2011,0.811023755
01/11/2011,0.506863254
01/12/2011,0.445743041
01/01/2012,0.365353414
01/02/2012,-0.020147112
01/03/2012,-0.151659015
01/04/2012,-0.122493425
01/05/2012,0.08223206
01/06/2012,0.079079539
01/07/2012,0.010104451
01/08/2012,-0.294938029
01/09/2012,-0.435098065
01/10/2012,-0.276089007
01/11/2012,-0.418415482
01/12/2012,-0.434863789
01/01/2013,-0.450900778
01/02/2013,-0.565034092
01/03/2013,-0.553085315
01/04/2013,-0.464097772
01/05/2013,-0.587212411
01/06/2013,-0.398328953
01/07/2013,-0.501149532
01/08/2013,-0.71641239
01/09/2013,-0.661047869
01/10/2013,-0.638241392
01/11/2013,-0.809591574
01/12/2013,-0.920369922
01/01/2014,-0.810832283
01/02/2014,-0.760387326
01/03/2014,-0.776508376
01/04/2014,-0.815186687
01/05/2014,-0.963227239
01/06/2014,-1.038178856
01/07/2014,-0.892857229
01/08/2014,-0.838330962
01/09/2014,-0.82469069
01/10/2014,-0.415750061
01/11/2014,-0.71298646
01/12/2014,-0.520229361
01/01/2015,-0.212840821
01/02/2015,-0.404437292
01/03/2015,-0.459478225
01/04/2015,-0.556052439
01/05/2015,-0.737573952
01/06/2015,-0.621083937
01/07/2015,-0.475257065
01/08/2015,-0.304682026
01/09/2015,-0.09174853
01/10/2015,-0.268438999
01/11/2015,-0.380894065
01/12/2015,-0.135498297
01/01/2016,0.215728266
01/02/2016,0.426232272
01/03/2016,-0.07775768
01/04/2016,-0.133488845
01/05/2016,-0.27436645
01/06/2016,-0.169311098
01/07/2016,-0.284115631
01/08/2016,-0.363239699
01/09/2016,-0.363058284
01/10/2016,-0.477873271
01/11/2016,-0.216748789
01/12/2016,-0.620127085
01/01/2017,-0.571178048
01/02/2017,-0.668485099
01/03/2017,-0.651981964
01/04/2017,-0.553174085
01/05/2017,-0.732515712
01/06/2017,-0.616706756
01/07/2017,-0.733860424
01/08/2017,-0.772047145
01/09/2017,-0.732700239
01/10/2017,-0.781834281
01/11/2017,-0.763404991
01/12/2017,-0.747172609
01/01/2018,-0.819604787
01/02/2018,-0.564842223
01/03/2018,-0.611176981
01/04/2018,-0.387003257
01/05/2018,-0.571837659
01/06/2018,-0.598241323
01/07/2018,-0.447439588
01/08/2018,-0.734169242
01/09/2018,-0.745437247
01/10/2018,-0.357232879
01/11/2018,-0.370774565
01/12/2018,-0.085342752
01/01/2019,-0.08293319
01/02/2019,-0.521563616
01/03/2019,-0.410699274
01/04/2019,-0.509675695
01/05/2019,-0.429088318
01/06/2019,-0.383373521
01/07/2019,-0.593616398
