,Date,Z1,Z2,Z3,Z4,Z5,Z_Composite,threshold,MA,phase
0,1993-08-31,0.07429510239363413,-0.06842885946695093,1.0064009467688164,0.42594837362203036,0.04931537795297671,0.29750618825410136,0,0.17405060439281372,expansion
1,1993-09-30,0.6920183969611187,-0.02753749194665258,0.949407763119744,0.6936134776353383,0.030002133560914152,0.4675008558660925,0,0.1889946269602545,expansion
2,1993-10-31,1.3957250976300446,0.6362473403661025,0.7143165306178183,0.5149286505444377,0.5397568575571104,0.7601948953431027,0,0.24492422325815028,expansion
3,1993-11-30,1.8463530828343055,0.37064125888017474,1.0615712023495123,1.0866834749343577,0.5935963778671085,0.9917690793730918,0,0.3416332978212984,expansion
4,1993-12-31,2.2580523072401983,1.3187268039555589,1.273846381497685,1.3991048592435225,0.8215349189659986,1.4142530541805924,0,0.5145281777824902,expansion
5,1994-01-31,2.5938976044025854,2.1377168064550345,1.641816765826768,1.1498437322542612,0.8111935763574184,1.6668936970592134,0,0.7173848745781174,expansion
6,1994-02-28,2.6963473919810133,1.8574325472082696,1.5531153284651709,1.1498437322542612,1.0014827631215517,1.6516443526060534,0,0.9203929058226213,expansion
7,1994-03-31,2.6653273805831774,1.5689313399511529,0.8087725501532972,1.394993209388869,1.1877031558828544,1.5251455271918701,0,1.0968634562342647,expansion
8,1994-04-30,2.610400610328706,1.6616375311070437,0.6311953541749423,1.6181263697593993,1.3890507422075482,1.5820821215155279,0,1.2574354478919432,expansion
9,1994-05-31,2.5809484496417423,1.5576656963412663,1.4374241863662744,2.2282221007560548,1.7126403352469333,1.903380153670454,0,1.4369203601174885,expansion
10,1994-06-30,2.557167379488075,1.3081545253422775,1.546729391010296,2.076923076923078,1.8248536240649933,1.8627655993657437,0,1.5747416981203186,expansion
11,1994-07-31,2.538901639846707,1.0030801485982697,1.4564123320226927,1.9616271301204786,1.6337356775357628,1.7187513856247822,0,1.66561448640178,expansion
12,1994-08-31,2.4940424800491092,1.326549694303932,1.9282293126685157,2.0473438320094317,1.407872287194282,1.840807521245054,0,1.7189337947848375,expansion
13,1994-09-30,2.3924160209378376,1.2755339538800894,1.7660477526216471,2.1126085188927832,1.6616533313727289,1.8416519155410174,0,1.740778572095063,expansion
14,1994-10-31,2.2283902135420943,1.3071041959786107,1.5844661140279368,2.16202707851013,1.6825554060866688,1.7929086016290883,0,1.7584366032229424,expansion
15,1994-11-30,2.0026486962271894,0.9628590321728535,1.055037147177158,2.3454643222459444,1.563432061449323,1.585888251854494,0,1.7660294438057702,expansion
16,1994-12-31,1.7042148018346097,1.2551960323207487,0.22315474634794577,2.2828883722410334,0.6402479808095461,1.2211403867107766,0,1.7209117269551764,slowdown
17,1995-01-31,1.356843736837136,1.5875512960143872,0.15841092887167854,1.8879396452004538,0.9981800246413027,1.1977851263129917,0,1.6327123485354935,slowdown
18,1995-02-28,1.0071055237368154,1.2432114394880276,1.1006155207335817,2.022147428322838,0.083650426535263,1.0913460677633051,0,1.5362849070851887,slowdown
19,1995-03-31,0.6831201451518749,0.4166121197858942,1.4292319016545738,1.883139040982368,-0.8446010836314484,0.7135004247886526,0,1.4106285369806724,slowdown
20,1995-04-30,0.3144781943211866,0.5676381706693286,1.446378857205766,1.1801527147843254,-1.03433055629219,0.49486347613768333,0,1.242385531342251,slowdown
21,1995-05-31,0.03198739411680649,0.09593196747189396,1.2331342014242883,1.3879903213789497,-2.221839495634601,0.10544087775146749,0,1.0253591516185572,slowdown
22,1995-06-30,-0.018593610522285524,0.4663560894183681,1.0485527330106852,1.414898718914279,-2.2685475735405674,0.12853327145609583,0,0.8173122353469331,slowdown
23,1995-07-31,-0.006007770468567113,0.6579134014911759,0.9008607370203522,1.2332169055969784,-0.9073038977339037,0.3757358751812071,0,0.6660431882627722,slowdown
24,1995-08-31,0.0144971571058441,0.8594125453383944,0.7666490749208408,1.1907229842080467,-1.808703992142472,0.20451555388613074,0,0.5389650841596915,slowdown
25,1995-09-30,0.007723430610203463,-0.2874774322311326,0.9063760948385895,1.3023092527012792,-1.5232142859606854,0.08114341199165082,0,0.3993848698695238,slowdown
26,1995-10-31,-0.005211814708872526,-0.08180016694759513,-0.34917709699029426,1.159644165321386,-1.8203094462678613,-0.21937087191864743,0,0.23554525240927973,slowdown
27,1995-11-30,-0.032058560807511335,-0.44819977593291627,-0.018136236169859325,0.7954134611095316,-1.921380486141525,-0.324872319588456,0,0.10574865936214116,slowdown
28,1995-12-31,-0.065059605455245,0.06402853941898692,-0.08960072204382416,0.8255084339089631,-1.6992292119320056,-0.19287051322062496,0,0.01978191069235262,slowdown
29,1996-01-31,-0.08946561578060087,-0.24696722347324085,-0.0643997880032405,0.7714285714285716,-1.748411359030241,-0.27556308297175036,0,-0.02784358439804961,contraction
30,1996-02-29,-0.0824553929685204,-0.3944494624740215,0.34536803714912134,0.7896125721359903,-1.463917761078621,-0.1611684014472102,0,-0.06405629351096287,contraction
31,1996-03-31,-0.037829493270752135,0.4750920401843189,-0.0890086699509402,0.6277512972320087,-1.0259735328003172,-0.00999367172113641,0,-0.11227248687375581,contraction
32,1996-04-30,0.015114199873382025,0.24721555183503274,-0.06374007370360048,0.3747752440751763,-0.5218284027167573,0.010307303872646653,0,-0.13654851812544133,recovery
33,1996-05-31,0.04472175358816687,-0.37319509612176693,1.1793787925186687,0.2969610921611772,-0.5601742420566673,0.11753846001791571,0,-0.13199913712215822,recovery
34,1996-06-30,0.08169046136028436,0.17850455908669838,0.1988765242261053,0.8222402386329467,0.17714204381978205,0.29169076542516337,0,-0.06811643245418186,recovery
