,Date,Z1,Z2,Z3,Z4,Z5,Z_Composite,phase
0,1993-02-28,-0.9727891552664791,0.9769280653074413,0.7784672726425742,-0.25789886452701544,1.0390833066431624,0.31275812495993666,slowdown
1,1993-03-31,-0.99374967304395,0.9144002373880311,0.582039166631411,-0.06858995636116726,0.6563826397252074,0.21809648286790642,slowdown
2,1993-04-30,-0.9374170995456343,0.9148129286422156,0.33294376693534167,-0.1450746477337441,-0.009794875842885131,0.031094014491058742,slowdown
3,1993-05-31,-0.8918647146379106,0.2596090035077929,0.831872359816472,-0.15536386656646578,0.17594783135109007,0.044040122694195716,expansion
4,1993-06-30,-0.8803115997224108,0.42528960762433926,0.7297636794765784,-0.0,-0.13684117412839836,0.02758010265002171,slowdown
5,1993-07-31,-0.5005657266847722,-0.10261274862114968,0.9964925328795864,0.19321263188194568,-0.01962106996199669,0.1133811238987227,expansion
6,1993-08-31,0.07429510239363413,-0.06842885946695093,1.0064009467688164,0.42594837362203036,0.04931537795297671,0.29750618825410136,expansion
7,1993-09-30,0.6920183969611187,-0.02753749194665258,0.949407763119744,0.6936134776353383,0.030002133560914152,0.4675008558660925,expansion
8,1993-10-31,1.3957250976300446,0.6362473403661025,0.7143165306178183,0.5149286505444377,0.5397568575571104,0.7601948953431027,expansion
9,1993-11-30,1.8463530828343055,0.37064125888017474,1.0615712023495123,1.0866834749343577,0.5935963778671085,0.9917690793730918,expansion
10,1993-12-31,2.2580523072401983,1.3187268039555589,1.273846381497685,1.3991048592435225,0.8215349189659986,1.4142530541805924,expansion
11,1994-01-31,2.5938976044025854,2.1377168064550345,1.641816765826768,1.1498437322542612,0.8111935763574184,1.6668936970592134,expansion
12,1994-02-28,2.6963473919810133,1.8574325472082696,1.5531153284651709,1.1498437322542612,1.0014827631215517,1.6516443526060534,slowdown
13,1994-03-31,2.6653273805831774,1.5689313399511529,0.8087725501532972,1.394993209388869,1.1877031558828544,1.5251455271918701,slowdown
14,1994-04-30,2.610400610328706,1.6616375311070437,0.6311953541749423,1.6181263697593993,1.3890507422075482,1.5820821215155279,expansion
15,1994-05-31,2.5809484496417423,1.5576656963412663,1.4374241863662744,2.2282221007560548,1.7126403352469333,1.903380153670454,expansion
16,1994-06-30,2.557167379488075,1.3081545253422775,1.546729391010296,2.076923076923078,1.8248536240649933,1.8627655993657437,slowdown
17,1994-07-31,2.538901639846707,1.0030801485982697,1.4564123320226927,1.9616271301204786,1.6337356775357628,1.7187513856247822,slowdown
18,1994-08-31,2.4940424800491092,1.326549694303932,1.9282293126685157,2.0473438320094317,1.407872287194282,1.840807521245054,expansion
19,1994-09-30,2.3924160209378376,1.2755339538800894,1.7660477526216471,2.1126085188927832,1.6616533313727289,1.8416519155410174,expansion
20,1994-10-31,2.2283902135420943,1.3071041959786107,1.5844661140279368,2.16202707851013,1.6825554060866688,1.7929086016290883,slowdown
21,1994-11-30,2.0026486962271894,0.9628590321728535,1.055037147177158,2.3454643222459444,1.563432061449323,1.585888251854494,slowdown
22,1994-12-31,1.7042148018346097,1.2551960323207487,0.22315474634794577,2.2828883722410334,0.6402479808095461,1.2211403867107766,slowdown
23,1995-01-31,1.356843736837136,1.5875512960143872,0.15841092887167854,1.8879396452004538,0.9981800246413027,1.1977851263129917,slowdown
24,1995-02-28,1.0071055237368154,1.2432114394880276,1.1006155207335817,2.022147428322838,0.083650426535263,1.0913460677633051,slowdown
25,1995-03-31,0.6831201451518749,0.4166121197858942,1.4292319016545738,1.883139040982368,-0.8446010836314484,0.7135004247886526,slowdown
26,1995-04-30,0.3144781943211866,0.5676381706693286,1.446378857205766,1.1801527147843254,-1.03433055629219,0.49486347613768333,slowdown
27,1995-05-31,0.03198739411680649,0.09593196747189396,1.2331342014242883,1.3879903213789497,-2.221839495634601,0.10544087775146749,slowdown
28,1995-06-30,-0.018593610522285524,0.4663560894183681,1.0485527330106852,1.414898718914279,-2.2685475735405674,0.12853327145609583,expansion
29,1995-07-31,-0.006007770468567113,0.6579134014911759,0.9008607370203522,1.2332169055969784,-0.9073038977339037,0.3757358751812071,expansion
30,1995-08-31,0.0144971571058441,0.8594125453383944,0.7666490749208408,1.1907229842080467,-1.808703992142472,0.20451555388613074,slowdown
31,1995-09-30,0.007723430610203463,-0.2874774322311326,0.9063760948385895,1.3023092527012792,-1.5232142859606854,0.08114341199165082,slowdown
32,1995-10-31,-0.005211814708872526,-0.08180016694759513,-0.34917709699029426,1.159644165321386,-1.8203094462678613,-0.21937087191864743,contraction
33,1995-11-30,-0.032058560807511335,-0.44819977593291627,-0.018136236169859325,0.7954134611095316,-1.921380486141525,-0.324872319588456,contraction
34,1995-12-31,-0.065059605455245,0.06402853941898692,-0.08960072204382416,0.8255084339089631,-1.6992292119320056,-0.19287051322062496,recovery
35,1996-01-31,-0.08946561578060087,-0.24696722347324085,-0.0643997880032405,0.7714285714285716,-1.748411359030241,-0.27556308297175036,contraction
36,1996-02-29,-0.0824553929685204,-0.3944494624740215,0.34536803714912134,0.7896125721359903,-1.463917761078621,-0.1611684014472102,recovery
37,1996-03-31,-0.037829493270752135,0.4750920401843189,-0.0890086699509402,0.6277512972320087,-1.0259735328003172,-0.00999367172113641,recovery
38,1996-04-30,0.015114199873382025,0.24721555183503274,-0.06374007370360048,0.3747752440751763,-0.5218284027167573,0.010307303872646653,expansion
39,1996-05-31,0.04472175358816687,-0.37319509612176693,1.1793787925186687,0.2969610921611772,-0.5601742420566673,0.11753846001791571,expansion
