DATE,KCFSI
1990-02-01,0.264076452241583
1990-03-01,0.132601763308184
1990-04-01,0.302727159694074
1990-05-01,0.03478324336303
1990-06-01,-0.07434951432156
1990-07-01,-0.125881989013629
1990-08-01,0.337044995669526
1990-09-01,0.735018845463331
1990-10-01,0.959337096064936
1990-11-01,0.906140480617079
1990-12-01,1.04559971899478
1991-01-01,1.20839659661379
1991-02-01,0.906957787879838
1991-03-01,0.421082330962465
1991-04-01,0.403636737155849
1991-05-01,0.0466315380977999
1991-06-01,0.331515926890941
1991-07-01,0.168660393204917
1991-08-01,0.0334589699960339
1991-09-01,-0.00145241313673932
1991-10-01,-0.147127992255144
1991-11-01,-0.0380709790322938
1991-12-01,0.0460698390501659
1992-01-01,0.0504242061272976
1992-02-01,-0.0070904542694166
1992-03-01,-0.138173963182149
1992-04-01,-0.360119422813112
1992-05-01,-0.504868466210234
1992-06-01,-0.425671731120239
1992-07-01,-0.413476859533101
1992-08-01,-0.384052471734102
1992-09-01,-0.465851644784711
1992-10-01,-0.141355837717009
1992-11-01,-0.318811949170872
1992-12-01,-0.375218630015877
1993-01-01,-0.280603265460661
1993-02-01,-0.347972716445122
1993-03-01,-0.278812800434331
1993-04-01,-0.179803425222177
1993-05-01,-0.455809667574866
1993-06-01,-0.437380278316011
1993-07-01,-0.58396494900366
1993-08-01,-0.650686720456473
1993-09-01,-0.621379533927402
1993-10-01,-0.505653985797154
1993-11-01,-0.718367789704565
1993-12-01,-0.828455134862698
1994-01-01,-0.923439614387536
1994-02-01,-0.864258610598733
1994-03-01,-0.616711456854882
1994-04-01,-0.559444204028282
1994-05-01,-0.821609915225655
1994-06-01,-0.855346035138725
1994-07-01,-0.840020634510229
1994-08-01,-0.998437468281248
1994-09-01,-0.970504470117241
1994-10-01,-0.938115823007785
1994-11-01,-0.796542125973406
1994-12-01,-0.567508330351328
1995-01-01,-0.573822283512668
1995-02-01,-0.836022539107255
1995-03-01,-0.917498453910009
1995-04-01,-0.93435727486687
1995-05-01,-0.908671247294385
1995-06-01,-0.882722776813488
1995-07-01,-0.862507432575635
1995-08-01,-0.876303867655579
1995-09-01,-0.987406723949017
1995-10-01,-0.674794057479516
1995-11-01,-0.788251368445988
1995-12-01,-0.772518695925917
1996-01-01,-0.778916877616528
1996-02-01,-0.878282611500074
1996-03-01,-0.792685180967183
1996-04-01,-0.801780535148695
1996-05-01,-1.00230422274047
1996-06-01,-0.859714603213281
1996-07-01,-0.833752506835035
1996-08-01,-0.95774755415373
1996-09-01,-1.0364426781029
1996-10-01,-0.938269845356613
1996-11-01,-0.829957786748019
1996-12-01,-0.777505720305596
1997-01-01,-0.796890968502832
1997-02-01,-0.916679471268091
1997-03-01,-0.795539550321683
1997-04-01,-0.76096523091185
1997-05-01,-0.670260223708701
1997-06-01,-0.623474554842184
1997-07-01,-0.714028631659661
1997-08-01,-0.616496619786621
1997-09-01,-0.524889441896275
1997-10-01,-0.301751351925986
1997-11-01,-0.110984908716807
1997-12-01,-0.125194512412308
1998-01-01,-0.109158271120342
1998-02-01,-0.260434525438426
1998-03-01,-0.268353072981103
1998-04-01,-0.0648063312050205
1998-05-01,-0.381429813791243
1998-06-01,-0.206600564152972
1998-07-01,-0.0880187589522897
1998-08-01,0.509424653872535
1998-09-01,1.23770902884018
1998-10-01,1.44764379194211
1998-11-01,0.925533109661602
1998-12-01,0.833166126878137
1999-01-01,0.982114634031631
1999-02-01,0.877388933123688
1999-03-01,0.685286898590625
1999-04-01,0.657763954986342
1999-05-01,0.315461094503466
1999-06-01,0.262592651620605
1999-07-01,0.299137842379418
1999-08-01,0.511757481920074
1999-09-01,0.691605842759403
1999-10-01,0.696687594011657
1999-11-01,0.572235518125296
1999-12-01,0.464915707272573
2000-01-01,0.501347981629273
2000-02-01,0.488098887730901
2000-03-01,1.09692605632094
2000-04-01,1.21304407238867
2000-05-01,1.28007444484573
2000-06-01,1.44596888893949
2000-07-01,0.848748836866364
2000-08-01,0.717313352070543
2000-09-01,0.925205231636946
2000-10-01,1.08849312507927
2000-11-01,1.23071306887401
2000-12-01,1.51916340611519
2001-01-01,1.38409379039345
2001-02-01,0.963877645396618
2001-03-01,1.13652017404508
2001-04-01,1.10659146810488
2001-05-01,0.696716965315312
2001-06-01,0.659207795078281
2001-07-01,0.566837383079108
2001-08-01,0.579122977242082
2001-09-01,1.0541258838533
2001-10-01,1.27004385036628
2001-11-01,0.616454663506474
2001-12-01,0.453860886509765
2002-01-01,0.426084653243883
2002-02-01,0.340732677532562
2002-03-01,0.266765494315873
2002-04-01,0.370057426614917
2002-05-01,0.161989878314524
2002-06-01,0.604496106608978
2002-07-01,1.05271921844379
2002-08-01,0.868295762413493
2002-09-01,1.27905896113186
2002-10-01,1.37524940318074
2002-11-01,0.779317525023188
2002-12-01,0.549149872093798
2003-01-01,0.449203521982633
2003-02-01,0.3898261336262
2003-03-01,0.38499478857563
2003-04-01,0.107696497374579
2003-05-01,-0.12725532059711
2003-06-01,-0.175073263555573
2003-07-01,-0.26018697433454
2003-08-01,-0.349401024265802
2003-09-01,-0.48520959793953
2003-10-01,-0.487507423568734
2003-11-01,-0.545615053038723
2003-12-01,-0.61188011521323
2004-01-01,-0.600391332283601
2004-02-01,-0.704985798277498
2004-03-01,-0.592089859931344
2004-04-01,-0.510522013632113
2004-05-01,-0.553942972264281
2004-06-01,-0.649625375107407
2004-07-01,-0.623456517882194
2004-08-01,-0.625726051672478
2004-09-01,-0.635367744963878
2004-10-01,-0.511818350566165
2004-11-01,-0.584881159795094
